カテゴリ,項目,内容
残業,月平均残業時間,15〜20時間。繁忙期（3月・9月）は30時間前後になることも。
残業,ノー残業デー,週1回（毎週水曜日）
残業,休日出勤,基本なし。年1〜2回、大型案件の納期前に発生する場合あり。振替休日は必ず取得。
有給休暇,初年度付与日数,10日
有給休暇,全社平均取得率,78%
有給休暇,長期休暇,夏季休暇3日、年末年始休暇5日。有給と合わせて1週間以上の連続休暇を取る社員も多い。
離職率,新卒3年以内離職率,12%（業界平均は約25%）
離職率,主な退職理由,キャリアチェンジ（異業種への転職）が最多。次いで転居。人間関係や労働環境が理由の退職は少ない。
給与,大卒初任給,月額23万円（2025年度実績）。詳細は採用担当へ。
給与,賞与,年2回（6月・12月）、直近3年平均で年間4.2ヶ月分。業績連動で変動あり。
給与,昇給,年1回（4月）。等級制度に基づき、成果と行動の両面で評価。
福利厚生,住宅手当,世帯主に月額2万円支給
福利厚生,社員食堂,本社ビルに完備。1食400円。支社勤務者にはランチ補助として月額5,000円支給。
福利厚生,交通費,全額支給
福利厚生,保険・年金,各種社会保険完備、確定拠出年金制度あり
福利厚生,資格取得支援,受験料全額負担
福利厚生,その他,スポーツジム法人契約
リモートワーク,制度,週2日まで可能。入社後3ヶ月間は原則出社（オンボーディングのため）。
リモートワーク,フレックスタイム,コアタイム10:00〜15:00。始業7:00〜10:00、終業15:00〜22:00で調整可能。
研修制度,新入社員研修,入社後2ヶ月間の集合研修（ビジネスマナー・業界知識・職種別技術研修）。その後OJT。
研修制度,メンター制度,先輩社員が1年間サポート
研修制度,自己啓発支援,年間10万円の支援制度（書籍・外部セミナー等に利用可能）
研修制度,社内勉強会,月2回開催
社風,企業文化,「まずやってみよう」を大切にする文化。若手からの新規プロジェクト提案制度あり（直近2年で3件事業化）。
社風,平均年齢,32歳
社風,コミュニケーション,フラット。1on1ミーティング月2回。360度評価を導入。
社風,社内イベント,四半期に1回の全社イベント（任意参加）、部署懇親会（年2〜3回）。参加は自由。
配属,決定方法,入社前面談と研修中の適性を総合判断。本人の希望も考慮するが第一希望になるとは限らない。
配属,社内公募制度,入社3年目以降に利用可能
配属,転勤,東京本社のほか、大阪・名古屋・福岡に支社あり。総合職は転勤の可能性あり。エリア限定職を選択すれば転勤なし。
選考,選考フロー,書類選考 → 一次面接（人事）→ 二次面接（部門責任者）→ 最終面接（役員）。全4ステップ。
選考,所要期間,書類提出から内定まで約3〜4週間
選考,面接の特徴,一次は自己PR・志望動機中心、二次は業務適性・課題解決力、最終は将来ビジョン。圧迫面接は行わない。
選考,OB・OG訪問,可能。採用ページから申し込み。希望する職種・年次の社員を紹介。オンライン対応も可。
